City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,veshenskaya,49.6303,41.7334,-10.45,96,100,1.93,RU,1675984955
309,tigil,57.8,158.6667,-19.39,99,90,1.61,RU,1675984955
310,geraldton,-28.7667,114.6,24.23,78,75,7.72,AU,1675984702
311,quatre cocos,-20.2078,57.7625,26.06,75,12,5.75,MU,1675984956
312,kamaishi,39.2667,141.8833,-1.25,60,100,1.45,JP,1675984957
313,adrar,20.5022,-10.0711,21.42,22,99,6.75,MR,1675984957
314,chapeco,-27.0964,-52.6183,24.86,69,20,4.63,BR,1675984926
315,verkhoyansk,67.5447,133.385,-46.12,98,98,0.43,RU,1675984958
316,barth,54.3635,12.7249,3.36,88,100,9.29,DE,1675984958
317,maryville,35.7565,-83.9705,20.14,74,75,12.86,US,1675984958
318,port-gentil,-0.7193,8.7815,27.98,89,40,2.57,GA,1675984959
319,yeppoon,-23.1333,150.7333,27.88,67,74,5.5,AU,1675984959
320,college,64.8569,-147.8028,-15.11,81,40,1.54,US,1675984959
321,buta,2.7858,24.73,20.94,38,8,1.1,CD,1675984960
322,nara,34.6851,135.8049,4.98,60,100,1.49,JP,1675984960
323,torrington,41.8007,-73.1212,8.43,82,100,1.34,US,1675984961
324,budakalasz,47.6167,19.05,-3.49,74,0,0.86,HU,1675984961
325,praia,14.9215,-23.5087,20.3,77,20,7.72,CV,1675984961
326,mamlyutka,54.9375,68.5394,-12.95,96,89,3.84,KZ,1675984962
327,kungurtug,50.5994,97.5228,-17.57,99,100,0.5,RU,1675984962
328,bosaso,11.2842,49.1816,22.78,82,14,0.58,SO,1675984963
329,ayan,56.45,138.1667,-28.03,80,18,2.92,RU,1675984963
330,tsumeb,-19.2333,17.7167,19.88,72,54,1.61,NA,1675984963
331,elsterwerda,51.45,13.5333,0.16,77,86,3.39,DE,1675984964
332,athens,37.9795,23.7162,7.31,68,75,3.09,GR,1675984942
333,barstow,34.8986,-117.0228,18.98,21,1,5.72,US,1675984964
334,khor,47.8861,134.9464,-20.38,92,99,2.16,RU,1675984965
335,namibe,-15.1961,12.1522,20.99,78,42,3.45,AO,1675984965
336,port augusta,-32.5,137.7667,25.85,51,0,1.69,AU,1675984782
337,gopalpur,19.2667,84.9167,19.85,85,5,1.67,IN,1675984966
338,husavik,66.0449,-17.3389,-8.97,74,92,7.75,IS,1675984966
339,arauco,-37.2463,-73.3175,21.56,59,0,5.38,CL,1675984966
340,tiksi,71.6872,128.8694,-38.66,98,97,1.96,RU,1675984967
341,ipixuna,-1.7625,-48.8043,24.07,94,66,2.01,BR,1675984967
342,calabozo,8.9242,-67.4293,30.48,43,90,4.24,VE,1675984968
343,okhotsk,59.3833,143.3,-28.79,76,42,8.14,RU,1675984968
344,ambilobe,-13.2,49.05,22.35,96,76,1.06,MG,1675984969
345,sur,22.5667,59.5289,21.09,68,9,3.1,OM,1675984969
346,williston,48.147,-103.618,-0.59,90,7,1.58,US,1675984921
347,longyearbyen,78.2186,15.6401,-9.09,73,20,1.54,SJ,1675984969
348,barquisimeto,10.0739,-69.3228,23.24,72,97,3.02,VE,1675984660
349,mazamet,43.49,2.373,4.76,86,0,0.0,FR,1675984970
350,nishihara,26.1842,127.7558,21.6,88,40,8.75,JP,1675984970
351,comarapa,-17.9,-64.4833,15.34,92,66,1.38,BO,1675984971
352,berlevag,70.8578,29.0864,0.0,69,61,12.86,NO,1675984971
353,pochutla,15.7432,-96.4661,30.9,42,12,2.98,MX,1675984971
354,kudahuvadhoo,2.6708,72.8944,26.64,75,65,5.09,MV,1675984972
355,copiapo,-27.3667,-70.3333,18.83,47,0,2.83,CL,1675984760
356,raiganj,25.6167,88.1167,14.36,50,0,1.74,IN,1675984827
357,houma,29.5958,-90.7195,19.0,59,100,4.63,US,1675984973
358,damara,4.9608,18.7035,24.53,22,69,1.2,CF,1675984973
359,pavlodar,52.3,76.95,-27.11,69,100,1.0,KZ,1675984973
360,tuatapere,-46.1333,167.6833,16.08,45,56,0.82,NZ,1675984974
361,kokstad,-30.5472,29.4241,14.57,99,100,1.11,ZA,1675984974
362,tiznit,29.5833,-9.5,15.62,24,100,6.41,MA,1675984974
363,gat,31.61,34.7642,10.22,100,96,1.53,IL,1675984975
